"Geo","#1","#2","#3","#4","#5","#6","#7","#8","#9","#10","#11","#12","#13","#14","#15"
"1000000","Newfoundland and Labrador",8810,34,33,17,19,20,18,17,17,17,17,16,15,16,17
"1100000","Prince Edward Island",2150,39,,33,34,33,31,30,30,31,31,30,26,25,25
"1200000","Nova Scotia",21500,41,38,26,27,26,25,23,24,24,23,22,23,24,23
"1300000","New Brunswick",20200,36,35,21,22,22,20,19,19,19,17,17,17,16,16
"2400000","Quebec",90400,27,27,21,21,21,21,20,20,20,18,19,19,19,19
"3500000","Ontario",207000,31,30,23,23,24,24,24,25,23,21,22,22,22,22
"4600000","Manitoba",21400,34,32,28,27,28,27,27,28,27,26,26,27,27,27
"4700000","Saskatchewan",61800,33,33,32,28,28,27,28,30,28,26,27,26,27,25
"4800000","Alberta",223000,26,27,21,21,21,21,20,21,20,20,20,20,18,18
"5900000","British Columbia",65900,38,36,18,18,19,18,17,18,18,17,18,17,17,17
"6000000","Yukon Territory",529,41,46,12,11,14,16,13,13,14,18,19,16,18,19
"6100000","Northwest Territories",1830,20,19,19,20,19,15,10,13,14,12,12,14,13,16
"6200000","Nunavut",,27,17,,,,,,,,,,8,7,5
"Legend:"
"#1","Total greenhouse gas emissions, 2000, '000 tonnes of CO2 equivalent"
"#2","Energy use final demand by transportation sector, 2000 %"
"#3","Energy use final demand by transportation sector, 2002 %"
"#4","Energy use final demand by resident & farm sector, 1991, %"
"#5","Energy use final demand by resident & farm sector, 1992, %"
"#6","Energy use final demand by resident & farm sector, 1993, %"
"#7","Energy use final demand by resident & farm sector, 1994, %"
"#8","Energy use final demand by resident & farm sector, 1995, %"
"#9","Energy use final demand by resident & farm sector, 1996, %"
"#10","Energy use final demand by resident & farm sector, 1997, %"
"#11","Energy use final demand by resident & farm sector, 1998, %"
"#12","Energy use final demand by resident & farm sector, 1999, %"
"#13","Energy use final demand by resident & farm sector, 2000, %"
"#14","Energy use final demand by resident & farm sector, 2001, %"
"#15","Energy use final demand by resident & farm sector, 2002, %"
